Date,open,high,low,close,volume,market_cap,year_week
2017-05-25,2433.4988706,2748.48441603,2230.59816008,2296.2603167,249493.64747371,572902361.9637097,2017-week(21)
2017-05-26,2178.861516356667,2378.713050956667,1981.0358710433336,2120.4198840266668,165139.03800625665,349658247.56679326,2017-week(21)
2017-05-29,2145.23984325,2307.27586481,2084.85164205,2257.68270142,87440.38283486,197412639.73215064,2017-week(22)
2017-05-30,2259.03857953,2307.56130734,2155.98603518,2184.17165532,122258.06235929,267032594.43901527,2017-week(22)
2017-05-31,2195.8898466,2303.82740405,2152.42163055,2278.46019201,122076.74959814,278147014.3295063,2017-week(22)
2017-06-01,2281.68026573,2437.63687821,2281.68026573,2394.03906443,114931.04521501,275149411.96077806,2017-week(22)
2017-06-02,2465.78650029,2523.6862534800002,2419.8282856133333,2506.6969257066667,75762.31065337667,189707263.3391324,2017-week(22)
2017-06-05,2513.981156,2686.39679983,2513.981156,2686.39679983,86074.83302459,231231155.98307303,2017-week(23)
2017-06-06,2692.65512462,2918.34834297,2692.06033785,2857.23508854,175786.42519394,502263142.1537758,2017-week(23)
2017-06-07,2860.64209628,2866.79617335,2624.51307192,2692.28570046,112085.87980631,301767211.42566067,2017-week(23)
2017-06-08,2683.85538015,2798.69837942,2618.57068011,2794.15779118,88275.73250587,246656325.75343636,2017-week(23)
2017-06-09,2829.0032693666667,2908.927367683333,2816.596407156667,2885.2954889066664,72993.40640297666,210974204.36496925,2017-week(23)
2017-06-12,2965.79821913,2975.72639337,2463.53014328,2640.65526532,202061.59515317,533575015.1596087,2017-week(24)
2017-06-13,2633.41437827,2743.08193829,2624.29284888,2709.07863494,110990.74709465,300682661.63039297,2017-week(24)
2017-06-14,2708.36654007,2783.84661532,2344.49964941,2463.81219647,158861.11965386,391403964.14749205,2017-week(24)
2017-06-15,2455.51139706,2506.27610069,2134.66195666,2428.2988426,230487.98663452,559693711.1787078,2017-week(24)
2017-06-16,2522.2194187533332,2616.71745255,2415.0208143,2558.4871315133337,94590.05497374666,241883359.9940876,2017-week(24)
2017-06-19,2529.01393571,2612.59021903,2521.71134755,2611.96197903,76921.63508889,200916386.21725097,2017-week(25)
2017-06-20,2614.82106863,2792.28406581,2611.93766809,2752.48879228,102608.0875279,282427610.9176183,2017-week(25)
2017-06-21,2748.8103305,2795.34208924,2620.69939129,2666.16533963,106956.34273809,285163293.8617561,2017-week(25)
2017-06-22,2669.06106987,2747.88835895,2611.53060807,2714.36019289,74109.24384746,201159181.42503995,2017-week(25)
2017-06-23,2667.7790665899997,2711.860685156667,2566.1430261433334,2607.9602720433336,68602.54299624333,178248900.968492,2017-week(25)
2017-06-26,2533.97576707,2571.97734528,2325.80616208,2457.17239793,140090.5488233,344226629.7789854,2017-week(26)
2017-06-27,2435.65026476,2552.005912,2299.65212868,2552.005912,143821.11704599,367032340.9714045,2017-week(26)
2017-06-28,2568.05985452,2603.10385549,2472.27536643,2569.41260298,98062.928286,251964123.82358852,2017-week(26)
2017-06-29,2568.27408873,2590.69687687,2507.08547464,2544.70134035,68928.53023122,175402523.26769555,2017-week(26)
2017-06-30,2473.3053148133336,2533.2353344166663,2404.2568529466666,2463.1440131033332,67498.69120769667,166261962.11683348,2017-week(26)
2017-07-03,2512.02455242,2601.23190244,2486.17513276,2561.49593148,80159.08480457,205327169.5978472,2017-week(27)
